会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
株式会社ネプロクリエイト,"代表取締役社長　成瀬 誠",,nc-recruit@nepro.jp,090-5133-6576,50000000円,4173000000円（2016年3月31日時点）,"株式会社ネプロクリエイト採用担当　戸川　真絵（トガワ　マサエ）〒576-0041大阪府交野市私部西1-31-7TEL　090-5133-6576 (10時～19時）MAIL nc-recruit@nepro.jp　※会社説明会の日程相談やご質問など、お気軽にご連絡ください。"
株式会社サクセス（携帯事業部・ショップスタッフ職）,代表取締役　和泉　享,http://www.kk-success.co.jp,soumu@kk-success.co.jp,050-3530-1006,7000万円,27億8400万円（2017年6月期）,"★☆★　株式会社サクセス　採用窓口　★☆★どんな小さな質問でも構いません。お気軽にお問い合わせください！〒760-0015香川県高松市紫雲町8-20TEL 050-3530-1006総務課／大西e-mail／soumu@kk-success.co.jpサクセスＨＰ／http://www.kk-success.co.jp/"
神奈川スバル株式会社,"代表取締役社長　 飯山　勝久",http://www.kanagawa-subaru.com,,045-478-3625,1億円,321億円（2015年3月）,"神奈川スバル株式会社〒222-8571横浜市港北区新横浜1-18-1採用担当：総務部　総務・人事課／石川・永井TEL: 045-478-3625（直通）【ホームページ】http://www.kanagawa-subaru.com【本社アクセス】JR横浜線、市営地下鉄線「新横浜駅」より徒歩約10分※環状2号線を岸根方面へお進みください。屋上のスバルの看板が目印です。"
株式会社メディアトラスト,"代表取締役　鬼頭 宏彰地元の流通業で6年勤務した後、学生時代からの車好きが高じて、1999年に中古車販売で独立起業。現在に至る。仕事もプライベートも何事も全力！そんな今も2年前に「学び」を思い立ち大学院に通う現役の”学生”でもあります。",,,052-734-3091,5500万円,"3億3800万円（2008年5月期実績） 5億4700万円（2009年6月期実績） 6億3400万円（2010年6月期実績） 6億4800万円（2011年6月期実績） 7億8100万円（2012年6月期実績） 7億8300万円（2013年6月期実績） 9億6400万円（2014年6月期実績）10億3500万円（2015年6月期実績）10億9600万円（2016年6月期実績）12億円（2017年6月期実績）『10期連続での増収記録を更新中！』","株式会社メディトラスト総務部 採用チーム　橋爪 琴美（はしづめ ことみ）【本社】〒465-0054愛知県名古屋市名東区高針台1-110TEL:052-734-3091　FAX:052-734-3092"
株式会社シュテルン三重,代表取締役　橋本　みどり,http://www.stern-mie.co.jp,,4059-340-6500,2000万円,,"株式会社シュテルン三重〒510-0885 三重県四日市市日永4-1-54059-340-6500／採用担当　千葉 HP：http://www.stern-mie.co.jp/"
モバイルシステム株式会社,"代表取締役　河村 朝尾",,,0568-54-7218,100万円,10億5800万円　（2016年度実績）10億1600万円　（2015年度実績）10億5500万円　（2014年度実績）,"モバイルシステム株式会社 愛知県西春日井郡豊山町豊場神戸115 0568-54-7218／採用担当まで"
スーパーサンシ株式会社,代表取締役社長　植杉　好英,http://sanshi.jp,saiyou@sanshi.jp,059-373-4034,1億6188万円,250億円（スーパーサンシ株式会社）413億円（サンシグループ総計）※2016年度実績,"スーパーサンシ株式会社〒513-0806三重県鈴鹿市算所二丁目5番1号TEL：059-373-4034営業企画課　採用担当／坂倉 URL：http://sanshi.jp/ E-mail：saiyou@sanshi.jp"
株式会社万歳家具,"川島 勉",http://www.mansaikagu.com/,,0586-87-0143,1000万円,20億円,〒493-0002愛知県一宮市木曽川町門間字角田35株式会社万歳家具本社TEL：0586-87-0143担当者：後藤
株式会社メディアショップ古川,代表取締役　角田健治,,,0229-24-6800,1000万円,205993154,"株式会社メディアショップ古川〒989-6171宮城県大崎市古川北町2-2-41採用担当：人事／後藤TEL： 0229-24-6800"
株式会社ハローズ,代表取締役社長　佐藤　利行,http://www.halows.com,saiyou@halows.co.jp,086-483-2782,31億1414万円,営業収益　1147億円(2017年2月期),〒701-0393岡山県都窪郡早島町早島3270番地1株式会社ハローズ本部　人事教育部採用担当：竹嶋・浅田・田島・西村・木村TEL：086-483-2782（直通）E-mail：saiyou@halows.co.jpURL：http://www.halows.comハローズ採用Facebook：http://www.facebook.com/halows.saiyou
株式会社ジェーソン,代表取締役社長兼会長　太田　万三彦,http://www.jason.co.jp,recruitjason@jason.co.jp,04-7192-2040,3億2030万円,,"株式会社ジェーソン〒277-0921　千葉県柏市大津ヶ丘2-8-5 採用担当／総務人事部　鈴木TEL: 04-7192-2040（直通）【メールアドレス】recruitjason@jason.co.jp【ホームページ】http://www.jason.co.jp/【本社アクセス】JR常磐線「柏駅」東口バス乗場（６）より、阪東バス「大津ヶ丘団地行」・「東我孫子車庫行」バス乗車（12分程）、「新中井」バス停にて下車、徒歩2分"
株式会社葉栗オートショップ,代表取締役社長／梶川　幹生,,,0586-87-5070,1000万円,10億9300万円(2017年3月実績)、10億1400万円(2016年3月実績)★2016年の年間販売台数は約1500台。軽自動車から輸入車まで幅広い取り扱いがあります。,"株式会社葉栗オートショップ愛知県一宮市木曽川町外割田伊勢田116 0586-87-5070／梶川"
株式会社デザイン,平林　義行,,saiyo@design-inc.jp,03-6891-0508,54000000円（2016年3月末現在　グループ総計）,25.5億円（2015年度）24億円(2014年度)19億円(2013年度),"〒163-0232 東京都新宿区西新宿2-6-1 新宿住友ビル32階 TEL : 03-6891-0508E-mail : saiyo@design-inc.jp"
エフコープ生活協同組合,"理事長　　 篠田 陽二（シノダ　ヨウジ）専務理事　堤 新吾（ツツミ　シンゴ）",http://www.fcoop.or.jp,,092-947-9002,,,〒811-2495福岡県糟屋郡篠栗町大字篠栗4826-1エフコープ生活協同組合人事部　人財開発課　担当　岩田、井上ＴＥＬ：092-947-9002ＵＲＬ　http://www.fcoop.or.jp/アクセス　ＪＲ福北ゆたか線　「篠栗」駅より徒歩5分
株式会社エクストリンク,代表取締役　廣瀬　雄一,http://www.extlink.co.jp,shinsotsu@extlink.co.jp,06-7175-7130,4678万円,132億1231万円（2017年4月度実績）105億728万円（2016年4月度実績）73億2069万円（2015年4月度実績）72億7450万円（2014年4月度実績）51億7699万円（2013年4月度実績）37億4115万円（2012年4月度実績）24億6300万円（2011年4月度実績）,"≪大阪本社≫〒530-0057大阪市北区曽根崎2-3-5　梅新第一生命ビルディング16階【TEL】※お問い合わせは直通番号にお願いします。（直通）　06-7175-7130（代表）　06-6362-1371≪東京本社≫〒160-0022 　東京都新宿区新宿4-3-25　TOKYU REIT新宿ビル9F【TEL】※お問い合わせは直通番号にお願いします。（直通）　06-6362-4382（代表）　03-5362-3251【MAIL】shinsotsu@extlink.co.jp【URL】http://www.extlink.co.jp/recruiting/"
株式会社ナック,代表取締役社長　難波克年,http://www.i-nac.co.jp,,078-685-0085,5000万円,84億7130万円（2015年3月期）,〒652-0806　神戸市兵庫区西柳原町4-8TEL:078-685-0085採用担当:近久(チカヒサ)、里見(サトミ)personnel@i-nac.co.jp◆URL　http://www.i-nac.co.jp/◆JR神戸線「兵庫駅」から徒歩5分
"株式会社 クロスメディア-アイ",倉富　真人,,,0942-77-1050,200万円,8億3千万円(平成27年4月時点),株式会社クロスメディア-アイ　auショップ大刀洗採用担当　福岡県三井郡大刀洗町鵜木1424-470942-77-1050
株式会社ベイビッシュハート,"代表取締役　大崎　義宏これまでフリーランスのディレクターとして様々なバラエティ番組を企画・制作してきました。番組で欠かせないＡＤさんが、夢半ばで去っていく姿を見てきてＡＤさんの夢を叶える場が必要だと思い「ＢＡＢＹＩＳＨ ＨＥＡＲＴ」を立ち上げました。普通の制作会社と違い、ＡＤさん第一優先です！今後は、ＡＤさんの成長と共に会社も大きくしていければと考えています。",,recruit@babyishheart.com,03-5572-7900,600万円,会社規定により非公開,"〒107-0052東京都港区赤坂7-6-15 赤坂ロイヤルビル308株式会社ベイビッシュハート　採用担当E-MAIL　recruit@babyishheart.comTEL　03-5572-7900 ※営業電話はご遠慮下さい"
"株式会社Class F",武市正尋,,,,非公開,5000万円（2014年1月）,代表取締役武市　正尋090－1173－6481
株式会社ヨシヅヤ,伊藤彰浩+-That's　Yoshizuyaism.『社長からのメッセージ』---------+++競合他社に打ち勝ち、厳しい時代を生き残っていくためには、ハングリー精神がある人材の採用と、彼らの活躍が不可欠だと思う。素直でチャレンジ精神あふれる行動力のある同志に集って欲しい。+++--------------------------------+,http://www.yoshizuya.com,,0567-23-7100,2億6000万円,611億円（平成28年7月期実績）,〒496-8501愛知県津島市新開町1-6本社TEL:0567-23-7100採用事務局:052-218-6283　※学生の方用の窓口E-mail:recruit@yoshizuya.infoホームページURL:http://www.yoshizuya.com
株式会社エリアフォース,,,areajinji@tw-area.co.jp,0120-999-179,1000万円,34億7018万円（平成28年度実績）←34億3416万円（平成27年度実績）※グループ総取扱高／69億2743万円（平成28年度実績）←65億7993万円（平成27年度実績）,"株式会社エリアフォース　新卒担当 MAIL：areajinji@tw-area.co.jp TEL：0120-999-179（平日10：00～18：00） ＜総括本部＞〒110-0016 東京都台東区台東3-42-7　松田商事ビル4Ｆ　　　＜本　　　社＞〒330-0802埼玉県さいたま市大宮区宮町2-35　大宮ＭＴビル5Ｆ"
株式会社セレクション,"代表取締役 山崎洋介",http://foods-selection.co.jp/index.html,,047-390-3336,3000万円,132億円（2017年3月度実績）,株式会社セレクション〒272-0132千葉県市川市湊新田1丁目6番8号新卒採用担当TEL：047-390-3336
イングホールディングス株式会社,"代表取締役社長　森 義之",,,03-6895-4134,2000万円,グループ総取扱高／69億2743円（2016年実績）,イングホールディングス株式会社　キャリア事業部〒110-0015　東京都台東区東上野1-14-4野村不動産上野ビル9階A03-6895-4134／キャリア事業部採用担当
株式会社相互移動通信,代表取締役　　池崎　正典,http://www.sougo-idou.co.jp,,076-280-0303,2億2000万円,56億円（平成28年3月期）,"株式会社　相互移動通信〒921-8027石川県金沢市神田2-2-29　相互神田ビル076-280-0303URL: http://www.sougo-idou.co.jp/スマートフォンはこちら：http://www.sougo-idou.co.jp/sp"
株式会社タイヨー,"代表取締役社長　森田 剛",http://www.taiyo-otoku.com,,0299-77-7657,3400万円,2017年9月期／995億円2016年9月期／944億円2015年9月期／879億円2014年9月期／821億円2013年9月期／771億円,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝≪　株式会社タイヨー　≫〒314-0144　茨城県神栖市大野原4-7-1TEL：0299-77-7657　採用担当<HP>http://www.taiyo-otoku.com/index.php＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
兼松コミュニケーションズ株式会社,"代表取締役社長　菊地 孝",http://www.kcs.ne.jp,jinji@kcs.ne.jp,0120-77-2650,14億2500万円,"2017年3月期 129694百万円2016年3月期 139065百万円2015年3月期 133185百万円","┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘人事部　新卒採用担当　〒151-8601　東京都渋谷区代々木3-22-7 新宿文化クイントビル3階ＴEL: 0120-77-2650 mail: jinji@kcs.ne.jpHP:http://www.kcs.ne.jp/┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘┘"
株式会社パスポート,濱田　総一郎,http://www.passport-net.co.jp,saiyou@passport-net.co.jp,044-975-4800,9900万円,320億円（2016年3月期実績）294億円（2015年3月期実績）264億円（2014年3月期実績）240億円（2013年3月期実績）209億円（2012年3月期実績）195億円（2011年3月期実績）178億円（2010年3月期実績）,"株式会社パスポート　人事部企画採用課〒216-0011　神奈川県川崎市宮前区犬蔵1-23-13人事総務部　企画採用課TEL:044-975-4800 E-mail saiyou@passport-net.co.jp（お問い合わせもお気軽に）当社ホームページ　http://www.passport-net.co.jp/ 田園都市線 宮前平駅 1番4番乗り場から生田行き、聖マリアンナ医大行き、鷲ヶ峰営業所行き乗車、菅生車庫下車、道路向かい。"
